,mi
RevolvingUtilizationOfUnsecuredLines,0.03671188466331676
NumberOfTimes90DaysLate,0.030274009095457632
NumberOfTime30-59DaysPastDueNotWorse,0.025170249727265448
NumberOfTime60-89DaysPastDueNotWorse,0.02041616792333434
age,0.007845749791792311
NumberRealEstateLoansOrLines,0.006526769216109285
NumberOfDependents,0.004622666892179161
NumberOfOpenCreditLinesAndLoans,0.004472506824426459
DebtRatio,0.004222833400685966
MonthlyIncome,0.004179284685152718
NumberOfDependents_na,0.0018190392717674086
MonthlyIncome_na,0.0016362640053981803
Unnamed: 0,3.0375611880018027e-05
