technique,model,auc,ap,accuracy,neg_precision,neg_recall,neg_f1,neg_support,pos_precision,pos_recall,pos_f1,pos_support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
baseline,Logistic_L2,0.8489768868078321,0.3727119503250388,0.93678,0.9429940997942736,0.9922342720791004,0.9669877496457876,139974.0,0.5999263894000736,0.1625772990225414,0.25582672839990583,10026.0,0.7714602445971737,0.5774057855508209,0.6114072390228467,0.9200634540315252,0.93678,0.9194537469857128
baseline,Logistic_L1,0.8490429338119563,0.3726635695729585,0.9368066666666667,0.9430377598066176,0.9922128395273407,0.9670005256799897,139974.0,0.6002933626696003,0.1632754837422701,0.2567239081000549,10026.0,0.7716655612381089,0.5777441616348055,0.6118622168900223,0.9201287243019796,0.9368066666666667,0.919525636560947
baseline,RandomForest,0.8398581544158477,0.3450690669660132,0.93418,0.943779292278095,0.9883406918427708,0.9655461217140046,139974.0,0.5223880597014925,0.17803710353081986,0.2655657219370676,10026.0,0.7330836759897937,0.5831888976867954,0.6155559218255361,0.9156135022926748,0.93418,0.9187594317929142
baseline,KNN,0.7417747021047034,0.23111930693589083,0.9303133333333333,0.9448539261009637,0.9826753539943133,0.9633935794306446,139974.0,0.4517295952973095,0.1992818671454219,0.27655893141393867,10026.0,0.6982917606991366,0.5909786105698676,0.6199762554222916,0.9118934958300475,0.9303133333333333,0.9174855515572081
baseline,GaussianNB,0.8364875824549344,0.3532533669411454,0.89168,0.9665947625656188,0.9155628902510466,0.9403870001981229,139974.0,0.32137115296279284,0.5582485537602234,0.4079148750091101,10026.0,0.6439829577642058,0.736905722005635,0.6741509376036166,0.923468016499766,0.89168,0.9047965633504892
baseline,DecisionTree,0.60889360658701,0.11843916345107999,0.89748,0.9477232219858563,0.9421035335133667,0.9449050222486547,139974.0,0.25350036845983787,0.2744863355276282,0.26357628579637965,10026.0,0.6006117952228471,0.6082949345204974,0.6042406540225171,0.9013213664561774,0.89748,0.8993650095041845
baseline,LinearSVC,0.8560030912212584,0.38162394956777784,0.06686,1.0,2.14325517596125e-05,4.286418483036499e-05,139974.0,0.06684133682673654,1.0,0.12530698712060143,10026.0,0.5334206684133682,0.5000107162758798,0.0626749256527159,0.9376276749534991,0.06686,0.008415518161857302
baseline,XGBoost,0.8609982987749931,0.3803468022945331,0.93572,0.9442732478865558,0.9895123380056297,0.9663636300208613,139974.0,0.5578313253012048,0.18471972870536604,0.2775363404765473,10026.0,0.7510522865938802,0.5871160333554979,0.6219499852487043,0.9184434697809509,0.93572,0.9203224139877193
weighted,Logistic_L2_weighted,0.8543548839543826,0.3779214264671854,0.7968333333333333,0.9779653766576165,0.8003129152556904,0.8802652826289383,139974.0,0.21160409556313994,0.7482545382006782,0.3299105081466171,10026.0,0.5947847361103782,0.7742837267281844,0.6050878953877777,0.9267417886292616,0.7968333333333333,0.84347956950254
weighted,Logistic_L1_weighted,0.8543543359913433,0.37786991716747237,0.7971,0.9779480422015306,0.8006201151642448,0.8804440481287834,139974.0,0.21179427796763353,0.7479553161779373,0.33011247331235005,10026.0,0.5948711600845821,0.774287715671091,0.6052782607205667,0.926738324600137,0.7971,0.843659885668053
weighted,RandomForest_weighted,0.8355767962703718,0.32597756922732385,0.9338266666666667,0.9419132538636147,0.9901481703744981,0.9654286072528176,139974.0,0.5174947515745276,0.14751645721125076,0.22958708475628686,10026.0,0.7297040027190711,0.5688323137928745,0.5975078460045522,0.913545121170612,0.9338266666666667,0.9162449598891496
weighted,XGBoost_weighted,0.8557458040474878,0.3757516055123,0.8217266666666667,0.9763573489941356,0.8290325346135711,0.8966838853751734,139974.0,0.23167560278678526,0.7197287053660483,0.35052097248196634,10026.0,0.6040164758904605,0.7743806199898097,0.6236024289285699,0.9265828210776363,0.8217266666666667,0.8601783562773915
smote,Logistic_L2,0.8487877701439078,0.3623377013903979,0.7879777777777778,0.9774031247241592,0.791079253191084,0.8744258281893681,41992.0,0.2033959865613366,0.7446808510638298,0.3195207189216176,3008.0,0.5903995556427479,0.7678800521274569,0.5969732735554929,0.925665047577631,0.7879777777777778,0.8373335044409814
smote,Logistic_L1,0.8488400850731953,0.3623554612063791,0.7884666666666666,0.9774739008969269,0.7915555343875024,0.8747450557258839,41992.0,0.20391086857662574,0.745345744680851,0.3202170963364993,3008.0,0.5906923847367763,0.7684506395341767,0.5974810760311916,0.9257655097587165,0.7884666666666666,0.8376779423515891
smote,RandomForest,0.817524647868591,0.26109475586650366,0.8944444444444445,0.9578559134497172,0.9277005143836922,0.942537078706056,41992.0,0.29884526558891455,0.43018617021276595,0.35268465521940584,3008.0,0.6283505895193159,0.6789433422982291,0.647610866962731,0.9138047128104885,0.8944444444444445,0.9031087211538817
smote,KNN,0.7429930810339255,0.17646550053386215,0.8140444444444445,0.9641378167964221,0.8316584111259288,0.8930114813204797,41992.0,0.19469127363864205,0.5681515957446809,0.29000509078567793,3008.0,0.5794145452175321,0.6999050034353048,0.5915082860530788,0.912704590089342,0.8140444444444445,0.8527038541487312
smote,GaussianNB,0.8252959839044824,0.33977993135942297,0.7777111111111111,0.9771201861408585,0.7800533434939989,0.8675362510759452,41992.0,0.19526008538816764,0.7450132978723404,0.3094235415947532,3008.0,0.5861901357645131,0.7625333206831697,0.5884798963353493,0.9248571820727676,0.7777111111111111,0.8302295170732913
smote,DecisionTree,0.6194814320635542,0.10982055484304148,0.8600222222222222,0.9500214337947903,0.8971947037530958,0.9228526987470759,41992.0,0.19202695115103874,0.3410904255319149,0.2457190755598132,3008.0,0.5710241924729145,0.6191425646425054,0.5842858871534445,0.8993537137105148,0.8600222222222222,0.8775900778904695
smote,LinearSVC,0.8447651495104943,0.3558107631917655,0.06702222222222222,1.0,0.00019051247856734617,0.00038095238095238096,41992.0,0.06685633001422475,1.0,0.12533333333333332,3008.0,0.5334281650071124,0.5000952562392836,0.06285714285714285,0.9376245297929509,0.06702222222222222,0.008733324867724868
smote,XGBoost,0.8328125023750724,0.30486908166278126,0.9218,0.9519748126218839,0.9648742617641456,0.9583811337267749,41992.0,0.39524395243952437,0.3204787234042553,0.35395630622360935,3008.0,0.6736093825307041,0.6426764925842005,0.6561687199751921,0.9147604475679164,0.9218,0.9179786919238966
adasyn,Logistic_L2,0.847353463888005,0.3600758787675959,0.7612666666666666,0.979470340933501,0.7600971613640694,0.855951407232599,41992.0,0.18843148312253283,0.777593085106383,0.3033525711691849,3008.0,0.583950912028017,0.7688451232352262,0.579651989200892,0.9265937879491591,0.7612666666666666,0.8190132450352935
adasyn,Logistic_L1,0.8473804684618245,0.3600855827772474,0.762,0.979461712954448,0.7609068393979805,0.8564612539201758,41992.0,0.18888350298917433,0.7772606382978723,0.3039126478616925,3008.0,0.5841726079718111,0.7690837388479264,0.5801869508909341,0.9266159517194358,0.762,0.8195264493196445
adasyn,RandomForest,0.8135379858321545,0.24764748776124887,0.8900666666666667,0.9565003080714726,0.924223661649838,0.940085021861034,41992.0,0.2809039548022599,0.4132313829787234,0.3344544598412485,3008.0,0.6187021314368663,0.6687275223142808,0.6372697408511413,0.9113404451684994,0.8900666666666667,0.8996019834042449
adasyn,KNN,0.7407923072289858,0.16947536910625305,0.8051111111111111,0.9642278240456095,0.8216326919413222,0.8872373801013193,41992.0,0.18745931872423519,0.574468085106383,0.2826762637003108,3008.0,0.5758435713849224,0.6980503885238526,0.584956821900815,0.9123051648454606,0.8051111111111111,0.8468258281427807
adasyn,GaussianNB,0.8279742383174302,0.34221575584173175,0.7551333333333333,0.9791466848179202,0.7536435511526005,0.8517217714262646,41992.0,0.18408391829008597,0.7759308510638298,0.29757123733027346,3008.0,0.5816153015540031,0.7647872011082151,0.574646504378269,0.926001155890904,0.7551333333333333,0.8146798868360258
